Serial,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National
94,10-03-2020,6:00 PM,Rajasthan,0,0,15,1,0
95,10-03-2020,6:00 PM,Tamil Nadu,0,0,1,1,0
96,10-03-2020,6:00 PM,Telengana,0,0,1,2,0
97,10-03-2020,6:00 PM,Jammu and Kashmir,0,0,1,7,0
98,11-03-2020,6:00 PM,Maharashtra,0,0,2,5,0
99,11-03-2020,6:00 PM,Delhi,0,0,5,0,14
100,11-03-2020,6:00 PM,Haryana,0,0,14,4,0
101,11-03-2020,6:00 PM,Kerala,3,0,17,17,0
102,11-03-2020,6:00 PM,Rajasthan,0,0,3,10,0
103,11-03-2020,6:00 PM,Telengana,0,0,1,1,0
104,11-03-2020,6:00 PM,Uttar Pradesh,0,0,9,1,2
105,11-03-2020,6:00 PM,Ladakh,0,0,2,1,0
106,11-03-2020,6:00 PM,Tamil Nadu,0,0,1,1,0
107,11-03-2020,6:00 PM,Jammu and Kashmir,0,0,1,1,0
108,11-03-2020,6:00 PM,Punjab,0,0,1,2,0
109,11-03-2020,6:00 PM,Karnataka,0,0,4,9,0
110,12-03-2020,6:00 PM,Delhi,0,0,6,1,0
111,12-03-2020,6:00 PM,Haryana,0,0,14,6,0
112,12-03-2020,6:00 PM,Kerala,3,0,17,0,14
113,12-03-2020,6:00 PM,Rajasthan,0,0,3,4,0
114,12-03-2020,6:00 PM,Telengana,0,0,1,17,0
115,12-03-2020,6:00 PM,Uttar Pradesh,0,0,11,11,0
116,12-03-2020,6:00 PM,Ladakh,0,0,3,1,0
117,12-03-2020,6:00 PM,Tamil Nadu,0,0,1,1,2
118,12-03-2020,6:00 PM,Jammu and Kashmir,0,0,1,1,0
119,12-03-2020,6:00 PM,Punjab,0,0,1,1,0
120,12-03-2020,6:00 PM,Karnataka,0,0,4,1,0
121,12-03-2020,6:00 PM,Maharashtra,0,0,11,3,0
122,12-03-2020,6:00 PM,Andhra Pradesh,0,0,1,10,1
123,13-03-2020,6:00 PM,Delhi,0,0,6,1,0
124,13-03-2020,6:00 PM,Haryana,0,0,14,6,0
125,13-03-2020,6:00 PM,Kerala,3,0,19,0,14
126,13-03-2020,6:00 PM,Rajasthan,0,0,3,5,0
127,13-03-2020,6:00 PM,Telengana,0,0,1,17,0
128,13-03-2020,6:00 PM,Uttar Pradesh,0,0,11,11,0
129,13-03-2020,6:00 PM,Ladakh,0,0,3,1,0
130,13-03-2020,6:00 PM,Tamil Nadu,0,0,1,1,2
131,13-03-2020,6:00 PM,Jammu and Kashmir,0,0,1,1,0
132,13-03-2020,6:00 PM,Punjab,0,0,1,1,
133,13-03-2020,6:00 PM,Karnataka,0,1,6,1,
134,13-03-2020,6:00 PM,Maharashtra,0,0,14,3,
135,13-03-2020,6:00 PM,Andhra Pradesh,0,0,1,10,1
136,14-03-2020,6:00 PM,Delhi,1,1,7,1,0
137,14-03-2020,6:00 PM,Haryana,0,0,14,7,0
138,14-03-2020,6:00 PM,Kerala,3,0,19,0,14
139,14-03-2020,6:00 PM,Rajasthan,1,0,3,6,0
140,14-03-2020,6:00 PM,Telengana,0,0,1,19,0
141,14-03-2020,6:00 PM,Uttar Pradesh,5,0,12,14,0
142,14-03-2020,6:00 PM,Ladakh,0,0,3,1,0
143,14-03-2020,6:00 PM,Tamil Nadu,0,0,1,1,2
144,14-03-2020,6:00 PM,Jammu and Kashmir,0,0,2,1,0
145,14-03-2020,6:00 PM,Punjab,0,0,1,1,0
146,14-03-2020,6:00 PM,Karnataka,0,1,6,2,0
147,14-03-2020,6:00 PM,Maharashtra,0,0,14,3,0
148,14-03-2020,6:00 PM,Andhra Pradesh,0,0,1,11,1
149,15-03-2020,6:00 PM,Andhra Pradesh,0,0,1,1,0
150,15-03-2020,6:00 PM,Delhi,2,1,7,7,0
151,15-03-2020,6:00 PM,Haryana,0,0,14,0,14
152,15-03-2020,6:00 PM,Karnataka,0,1,6,6,0
153,15-03-2020,6:00 PM,Kerala,3,0,22,23,0
154,15-03-2020,6:00 PM,Maharashtra,0,0,32,32,0
155,15-03-2020,6:00 PM,Punjab,0,0,1,1,0
156,15-03-2020,6:00 PM,Rajasthan,3,0,4,2,2
157,15-03-2020,6:00 PM,Tamil Nadu,0,0,1,1,0
158,15-03-2020,6:00 PM,Telengana,1,0,3,3,0
159,15-03-2020,6:00 PM,Jammu and Kashmir,0,0,2,2,0
160,15-03-2020,6:00 PM,Ladakh,0,0,3,3,0
161,15-03-2020,6:00 PM,Uttar Pradesh,4,0,13,12,1
162,15-03-2020,6:00 PM,Uttarakhand,0,0,1,1,0
163,16-03-2020,6:00 PM,Andhra Pradesh,0,0,1,1,0
164,16-03-2020,6:00 PM,Delhi,2,1,7,7,0
165,16-03-2020,6:00 PM,Haryana,0,0,14,0,14
166,16-03-2020,6:00 PM,Karnataka,0,1,6,6,0
167,16-03-2020,6:00 PM,Kerala,3,0,23,23,0
168,16-03-2020,6:00 PM,Maharashtra,0,0,32,32,0
169,16-03-2020,6:00 PM,Odisha,0,0,1,1,0
170,16-03-2020,6:00 PM,Punjab,0,0,1,1,0
171,16-03-2020,6:00 PM,Rajasthan,3,0,4,2,2
172,16-03-2020,6:00 PM,Tamil Nadu,0,0,1,1,0
173,16-03-2020,6:00 PM,Telengana,1,0,3,3,0
174,16-03-2020,6:00 PM,Jammu and Kashmir,0,0,3,3,0
175,16-03-2020,6:00 PM,Ladakh,0,0,4,4,0
176,16-03-2020,6:00 PM,Uttar Pradesh,4,0,13,12,1
177,16-03-2020,6:00 PM,Uttarakhand,0,0,1,1,0
178,17-03-2020,6:00 PM,Andhra Pradesh,0,0,1,1,0
179,17-03-2020,6:00 PM,Delhi,2,1,8,8,0
180,17-03-2020,6:00 PM,Haryana,0,0,15,1,14
181,17-03-2020,6:00 PM,Karnataka,0,1,11,11,0
182,17-03-2020,6:00 PM,Kerala,3,0,26,24,2
183,17-03-2020,6:00 PM,Maharashtra,0,1,39,36,3
184,17-03-2020,6:00 PM,Odisha,0,0,1,1,0
185,17-03-2020,6:00 PM,Punjab,0,0,1,1,0
186,17-03-2020,6:00 PM,Rajasthan,3,0,4,2,2
187,17-03-2020,6:00 PM,Tamil Nadu,0,0,1,1,0
188,17-03-2020,6:00 PM,Telengana,1,0,5,3,2
189,17-03-2020,6:00 PM,Jammu and Kashmir,0,0,3,3,0
190,17-03-2020,6:00 PM,Ladakh,0,0,6,6,0
191,17-03-2020,6:00 PM,Uttar Pradesh,5,0,15,14,1
192,17-03-2020,6:00 PM,Uttarakhand,0,0,1,1,0
193,18-03-2020,6:00 PM,Andhra Pradesh,0,0,1,1,0
194,18-03-2020,6:00 PM,Delhi,2,1,10,9,1
195,18-03-2020,6:00 PM,Haryana,0,0,17,3,14
196,18-03-2020,6:00 PM,Karnataka,0,1,11,11,0
197,18-03-2020,6:00 PM,Kerala,3,0,27,25,2
198,18-03-2020,6:00 PM,Maharashtra,0,1,42,39,3
199,18-03-2020,6:00 PM,Odisha,0,0,1,1,0
200,18-03-2020,6:00 PM,Puducherry,0,0,1,1,0
201,18-03-2020,6:00 PM,Punjab,0,0,1,1,0
202,18-03-2020,6:00 PM,Rajasthan,3,0,4,2,2
203,18-03-2020,6:00 PM,Tamil Nadu,0,0,1,1,0
204,18-03-2020,6:00 PM,Telengana,1,0,6,4,2
205,18-03-2020,6:00 PM,Jammu and Kashmir,0,0,3,3,0
206,18-03-2020,6:00 PM,Ladakh,0,0,8,8,0
207,18-03-2020,6:00 PM,Uttar Pradesh,5,0,16,15,1
208,18-03-2020,6:00 PM,Uttarakhand,0,0,1,1,0
209,18-03-2020,6:00 PM,West Bengal,0,0,1,1,0
210,19-03-2020,6:00 PM,Andhra Pradesh,0,0,2,2,0
211,19-03-2020,6:00 PM,Chhattisgarh,0,0,1,1,0
212,19-03-2020,6:00 PM,Delhi,3,1,12,11,1
213,19-03-2020,6:00 PM,Haryana,0,0,17,3,14
214,19-03-2020,6:00 PM,Karnataka,0,1,14,14,0
215,19-03-2020,6:00 PM,Kerala,3,0,27,25,2
216,19-03-2020,6:00 PM,Maharashtra,0,1,47,44,3
217,19-03-2020,6:00 PM,Odisha,0,0,1,1,0
218,19-03-2020,6:00 PM,Puducherry,0,0,1,1,0
219,19-03-2020,6:00 PM,Punjab,0,1,2,2,0
220,19-03-2020,6:00 PM,Rajasthan,3,0,7,5,2
221,19-03-2020,6:00 PM,Tamil Nadu,1,0,2,2,0
222,19-03-2020,6:00 PM,Telengana,1,0,6,4,2
223,19-03-2020,6:00 PM,Chandigarh,0,0,1,1,0
224,19-03-2020,6:00 PM,Jammu and Kashmir,0,0,4,4,0
225,19-03-2020,6:00 PM,Ladakh,0,0,8,8,0
226,19-03-2020,6:00 PM,Uttar Pradesh,9,0,19,18,1
227,19-03-2020,6:00 PM,Uttarakhand,0,0,1,1,0
228,19-03-2020,6:00 PM,West Bengal,0,0,1,1,0
229,20-03-2020,6:00 PM,Andhra Pradesh,0,0,3,2,0
230,20-03-2020,6:00 PM,Chhattisgarh,0,0,1,1,0
231,20-03-2020,6:00 PM,Delhi,5,1,17,16,1
232,20-03-2020,6:00 PM,Gujarat,0,0,5,2,0
233,20-03-2020,6:00 PM,Haryana,0,0,17,3,14
234,20-03-2020,6:00 PM,Karnataka,1,1,15,15,0
235,20-03-2020,6:00 PM,Kerala,3,0,28,26,2
236,20-03-2020,6:00 PM,Maharashtra,0,1,52,44,3
237,20-03-2020,6:00 PM,Odisha,0,0,2,1,0
238,20-03-2020,6:00 PM,Puducherry,0,0,1,1,0
239,20-03-2020,6:00 PM,Punjab,0,1,2,2,0
240,20-03-2020,6:00 PM,Rajasthan,3,0,17,5,2
241,20-03-2020,6:00 PM,Tamil Nadu,1,0,3,3,0
242,20-03-2020,6:00 PM,Telengana,1,0,17,7,9
243,20-03-2020,6:00 PM,Chandigarh,0,0,1,1,0
244,20-03-2020,6:00 PM,Jammu and Kashmir,0,0,4,4,0
245,20-03-2020,6:00 PM,Ladakh,0,0,10,10,0
246,20-03-2020,6:00 PM,Uttar Pradesh,9,0,23,18,1
247,20-03-2020,6:00 PM,Uttarakhand,0,0,3,1,0
248,20-03-2020,6:00 PM,West Bengal,0,0,2,1,0
249,21-03-2020,6:00 PM,Andhra Pradesh,0,0,3,3,0
250,21-03-2020,6:00 PM,Chhattisgarh,0,0,1,1,0
251,21-03-2020,6:00 PM,Delhi,5,1,26,25,1
252,21-03-2020,6:00 PM,Gujarat,0,0,7,7,0
253,21-03-2020,6:00 PM,Haryana,0,0,17,3,14
254,21-03-2020,6:00 PM,Himachal Pradesh,0,0,2,2,0
255,21-03-2020,6:00 PM,Karnataka,1,1,15,15,0
256,21-03-2020,6:00 PM,Kerala,3,0,40,33,7
257,21-03-2020,6:00 PM,Madhya Pradesh,0,0,4,4,0
258,21-03-2020,6:00 PM,Maharashtra,0,1,63,60,3
259,21-03-2020,6:00 PM,Odisha,0,0,2,2,0
260,21-03-2020,6:00 PM,Puducherry,0,0,1,1,0
261,21-03-2020,6:00 PM,Punjab,0,1,13,13,0
262,21-03-2020,6:00 PM,Rajasthan,3,0,17,15,2
263,21-03-2020,6:00 PM,Tamil Nadu,1,0,3,3,0
264,21-03-2020,6:00 PM,Telengana,1,0,21,10,11
265,21-03-2020,6:00 PM,Chandigarh,0,0,1,1,0
266,21-03-2020,6:00 PM,Jammu and Kashmir,0,0,4,3,1
267,21-03-2020,6:00 PM,Ladakh,0,0,13,13,0
268,21-03-2020,6:00 PM,Uttar Pradesh,9,0,24,23,1
269,21-03-2020,6:00 PM,Uttarakhand,0,0,3,3,0
270,21-03-2020,6:00 PM,West Bengal,0,0,3,2,1
271,22-03-2020,6:00 PM,Andhra Pradesh,0,0,5,5,0
272,22-03-2020,6:00 PM,Bihar,0,1,2,1,1
273,22-03-2020,6:00 PM,Chhattisgarh,0,0,1,1,0
274,22-03-2020,6:00 PM,Delhi,5,1,29,28,1
275,22-03-2020,6:00 PM,Gujarat,0,1,18,18,0
276,22-03-2020,6:00 PM,Haryana,0,0,21,7,14
277,22-03-2020,6:00 PM,Himachal Pradesh,0,0,2,2,0
278,22-03-2020,6:00 PM,Karnataka,2,1,26,26,0
279,22-03-2020,6:00 PM,Kerala,3,0,52,45,7
280,22-03-2020,6:00 PM,Madhya Pradesh,0,0,4,4,0
281,22-03-2020,6:00 PM,Maharashtra,0,2,67,64,3
282,22-03-2020,6:00 PM,Odisha,0,0,2,2,0
283,22-03-2020,6:00 PM,Puducherry,0,0,1,1,0
284,22-03-2020,6:00 PM,Punjab,0,1,21,21,0
285,22-03-2020,6:00 PM,Rajasthan,3,0,24,22,2
286,22-03-2020,6:00 PM,Tamil Nadu,1,0,7,5,2
287,22-03-2020,6:00 PM,Telengana,1,0,22,11,11
288,22-03-2020,6:00 PM,Chandigarh,0,0,5,4,1
289,22-03-2020,6:00 PM,Jammu and Kashmir,0,0,4,4,0
290,22-03-2020,6:00 PM,Ladakh,0,0,13,13,0
291,22-03-2020,6:00 PM,Uttar Pradesh,9,0,27,26,1
292,22-03-2020,6:00 PM,Uttarakhand,0,0,3,3,0
293,22-03-2020,6:00 PM,West Bengal,0,0,4,4,0
294,23-03-2020,6:00 PM,Andhra Pradesh,0,0,7,5,2
295,23-03-2020,6:00 PM,Bihar,0,1,2,2,0
296,23-03-2020,6:00 PM,Chhattisgarh,0,0,1,1,0
297,23-03-2020,6:00 PM,Delhi,5,1,29,28,1
298,23-03-2020,6:00 PM,Gujarat,0,1,29,29,0
299,23-03-2020,6:00 PM,Haryana,0,0,26,12,14
300,23-03-2020,6:00 PM,Himachal Pradesh,0,0,2,2,0
301,23-03-2020,6:00 PM,Karnataka,2,1,33,33,0
302,23-03-2020,6:00 PM,Kerala,3,0,67,60,7
303,23-03-2020,6:00 PM,Madhya Pradesh,0,0,6,6,0
304,23-03-2020,6:00 PM,Maharashtra,0,2,74,71,3
305,23-03-2020,6:00 PM,Odisha,0,0,2,2,0
306,23-03-2020,6:00 PM,Puducherry,0,0,1,1,0
307,23-03-2020,6:00 PM,Punjab,0,1,21,21,0
308,23-03-2020,6:00 PM,Rajasthan,3,0,28,26,2
309,23-03-2020,6:00 PM,Tamil Nadu,1,0,9,7,2
310,23-03-2020,6:00 PM,Telengana,1,0,32,22,10
311,23-03-2020,6:00 PM,Chandigarh,0,0,6,6,0
312,23-03-2020,6:00 PM,Jammu and Kashmir,0,0,4,4,0
313,23-03-2020,6:00 PM,Ladakh,0,0,13,13,0
314,23-03-2020,6:00 PM,Uttar Pradesh,9,0,31,30,1
315,23-03-2020,6:00 PM,Uttarakhand,0,0,3,3,0
316,23-03-2020,6:00 PM,West Bengal,0,0,7,7,0
317,24-03-2020,6:00 PM,Andhra Pradesh,0,0,8,5,3
318,24-03-2020,6:00 PM,Bihar,0,1,3,2,1
319,24-03-2020,6:00 PM,Chhattisgarh,0,0,1,1,0
320,24-03-2020,6:00 PM,Delhi,6,1,30,29,1
321,24-03-2020,6:00 PM,Gujarat,0,1,33,32,1
322,24-03-2020,6:00 PM,Haryana,11,0,28,14,14
323,24-03-2020,6:00 PM,Himachal Pradesh,0,1,3,3,0
324,24-03-2020,6:00 PM,Karnataka,3,1,37,37,0
325,24-03-2020,6:00 PM,Kerala,4,0,95,87,8
326,24-03-2020,6:00 PM,Madhya Pradesh,0,0,7,7,0
327,24-03-2020,6:00 PM,Maharashtra,0,2,89,86,3
328,24-03-2020,6:00 PM,Manipur,0,0,1,1,0
329,24-03-2020,6:00 PM,Odisha,0,0,2,2,0
330,24-03-2020,6:00 PM,Puducherry,0,0,1,1,0
331,24-03-2020,6:00 PM,Punjab,0,1,29,29,0
332,24-03-2020,6:00 PM,Rajasthan,3,0,32,30,2
333,24-03-2020,6:00 PM,Tamil Nadu,1,0,15,13,2
334,24-03-2020,6:00 PM,Telengana,1,0,35,25,10
335,24-03-2020,6:00 PM,Chandigarh,0,0,7,7,0
336,24-03-2020,6:00 PM,Jammu and Kashmir,0,0,4,4,0
337,24-03-2020,6:00 PM,Ladakh,0,0,13,13,0
338,24-03-2020,6:00 PM,Uttar Pradesh,11,0,33,32,1
339,24-03-2020,6:00 PM,Uttarakhand,0,0,4,3,1
340,24-03-2020,6:00 PM,West Bengal,0,1,9,9,0
341,25-03-2020,6:00 PM,Andhra Pradesh,1,0,9,9,0
342,25-03-2020,6:00 PM,Bihar,0,1,4,4,0
343,25-03-2020,6:00 PM,Chhattisgarh,0,0,1,1,0
344,25-03-2020,6:00 PM,Delhi,6,1,31,30,1
345,25-03-2020,6:00 PM,Gujarat,0,1,38,37,1
346,25-03-2020,6:00 PM,Haryana,11,0,28,14,14
347,25-03-2020,6:00 PM,Himachal Pradesh,0,1,3,3,0
348,25-03-2020,6:00 PM,Karnataka,3,1,41,41,0
349,25-03-2020,6:00 PM,Kerala,4,0,109,101,8
350,25-03-2020,6:00 PM,Madhya Pradesh,0,0,14,14,0
351,25-03-2020,6:00 PM,Maharashtra,1,3,128,125,3
352,25-03-2020,6:00 PM,Manipur,0,0,1,1,0
353,25-03-2020,6:00 PM,Mizoram,0,0,1,1,0
354,25-03-2020,6:00 PM,Odisha,0,0,2,2,0
355,25-03-2020,6:00 PM,Puducherry,0,0,1,1,0
356,25-03-2020,6:00 PM,Punjab,0,1,29,29,0
357,25-03-2020,6:00 PM,Rajasthan,3,0,36,34,2
358,25-03-2020,6:00 PM,Tamil Nadu,1,0,18,16,2
359,25-03-2020,6:00 PM,Telengana,1,0,35,25,10
360,25-03-2020,6:00 PM,Chandigarh,0,0,7,7,0
361,25-03-2020,6:00 PM,Jammu and Kashmir,1,0,7,7,0
362,25-03-2020,6:00 PM,Ladakh,0,0,13,13,0
363,25-03-2020,6:00 PM,Uttar Pradesh,11,0,37,36,1
364,25-03-2020,6:00 PM,Uttarakhand,0,0,4,3,1
365,25-03-2020,6:00 PM,West Bengal,0,1,9,9,0
366,26-03-2020,6:00 PM,Andaman and Nicobar Islands,0,0,1,1,0
367,26-03-2020,6:00 PM,Andhra Pradesh,1,0,11,11,0
368,26-03-2020,6:00 PM,Bihar,0,1,6,6,0
369,26-03-2020,6:00 PM,Chandigarh,0,0,7,7,0
370,26-03-2020,6:00 PM,Chhattisgarh,0,0,6,6,0
371,26-03-2020,6:00 PM,Delhi,6,1,36,35,1
372,26-03-2020,6:00 PM,Goa,0,0,3,3,0
373,26-03-2020,6:00 PM,Gujarat,0,3,43,42,1
374,26-03-2020,6:00 PM,Haryana,11,0,30,16,14
375,26-03-2020,6:00 PM,Himachal Pradesh,0,1,3,3,0
376,26-03-2020,6:00 PM,Jammu and Kashmir,1,0,13,13,0
377,26-03-2020,6:00 PM,Karnataka,3,2,55,55,0
378,26-03-2020,6:00 PM,Kerala,6,0,118,110,8
379,26-03-2020,6:00 PM,Ladakh,0,0,13,13,0
380,26-03-2020,6:00 PM,Madhya Pradesh,0,1,20,20,0
381,26-03-2020,6:00 PM,Maharashtra,1,3,124,121,3
382,26-03-2020,6:00 PM,Manipur,0,0,1,1,0
383,26-03-2020,6:00 PM,Mizoram,0,0,1,1,0
384,26-03-2020,6:00 PM,Odisha,0,0,2,2,0
385,26-03-2020,6:00 PM,Puducherry,0,0,1,1,0
386,26-03-2020,6:00 PM,Punjab,0,1,33,33,0
387,26-03-2020,6:00 PM,Rajasthan,3,0,41,39,2
388,26-03-2020,6:00 PM,Tamil Nadu,1,1,26,20,6
389,26-03-2020,6:00 PM,Telengana,1,0,44,34,10
390,26-03-2020,6:00 PM,Uttarakhand,0,0,5,4,1
391,26-03-2020,6:00 PM,Uttar Pradesh,11,0,41,40,1
392,26-03-2020,6:00 PM,West Bengal,0,1,10,10,0
393,27-03-2020,10:00 AM,Andaman and Nicobar Islands,0,0,1,1,0
394,27-03-2020,10:00 AM,Andhra Pradesh,1,0,12,12,0
395,27-03-2020,10:00 AM,Bihar,0,1,6,6,0
396,27-03-2020,10:00 AM,Chandigarh,0,0,7,7,0
397,27-03-2020,10:00 AM,Chhattisgarh,0,0,6,6,0
398,27-03-2020,10:00 AM,Delhi,6,1,36,35,1
399,27-03-2020,10:00 AM,Goa,0,0,3,3,0
400,27-03-2020,10:00 AM,Gujarat,0,3,43,42,1
401,27-03-2020,10:00 AM,Haryana,11,0,30,16,14
402,27-03-2020,10:00 AM,Himachal Pradesh,0,1,3,3,0
403,27-03-2020,10:00 AM,Jammu and Kashmir,1,1,13,13,0
404,27-03-2020,10:00 AM,Karnataka,3,2,55,55,0
405,27-03-2020,10:00 AM,Kerala,11,0,137,129,8
406,27-03-2020,10:00 AM,Ladakh,3,0,13,13,0
407,27-03-2020,10:00 AM,Madhya Pradesh,0,1,20,20,0
408,27-03-2020,10:00 AM,Maharashtra,15,4,130,127,3
409,27-03-2020,10:00 AM,Manipur,0,0,1,1,0
410,27-03-2020,10:00 AM,Mizoram,0,0,1,1,0
411,27-03-2020,10:00 AM,Odisha,0,0,2,2,0
412,27-03-2020,10:00 AM,Puducherry,0,0,1,1,0
413,27-03-2020,10:00 AM,Punjab,0,1,33,33,0
414,27-03-2020,10:00 AM,Rajasthan,3,0,41,39,2
415,27-03-2020,10:00 AM,Tamil Nadu,1,1,29,23,6
416,27-03-2020,10:00 AM,Telengana,1,0,45,35,10
417,27-03-2020,10:00 AM,Uttarakhand,0,0,5,4,1
418,27-03-2020,10:00 AM,Uttar Pradesh,11,0,41,40,1
419,27-03-2020,10:00 AM,West Bengal,0,1,10,10,0
420,28-03-2020,6:00 PM,Andhra Pradesh,1,0,14,14,0
421,28-03-2020,6:00 PM,Andaman and Nicobar Islands,0,0,6,6,0
422,28-03-2020,6:00 PM,Bihar,0,1,9,9,0
423,28-03-2020,6:00 PM,Chandigarh,0,0,8,8,0
